[0.0, 127.05456000000002]
[0.05, 121.62246999999996]
[0.1, 119.84990999999997]
[0.15, 118.54268249999991]
[0.2, 117.59477999999994]
[0.25, 117.38548]
[0.3, 117.27666285714282]
[0.35, 117.07479125]
[0.4, 117.04778666666665]
[0.45, 116.93186399999993]
[0.5, 116.84446090909081]
[0.55, 116.63294249999998]
[0.6, 116.56146307692306]
[0.65, 116.53313571428575]
[0.7, 116.49537800000009]
[0.75, 116.37947750000001]
[0.8, 116.45700176470584]
[0.85, 116.2752727777777]
[0.9, 116.2554099999999]
[0.95, 116.1588299999999]
[1.0, 116.05405904761898]
