[0.0, 113.38070000000005]
[0.05, 110.29715500000003]
[0.1, 109.07507333333338]
[0.15, 108.3692425000001]
[0.2, 107.66850600000005]
[0.25, 107.58510666666672]
[0.3, 107.56092142857146]
[0.35, 107.49452875000006]
[0.4, 107.5790722222223]
[0.45, 107.59527200000002]
[0.5, 107.50836545454548]
[0.55, 107.39143166666669]
[0.6, 107.39198615384618]
[0.65, 107.39732285714287]
[0.7, 107.31498666666661]
[0.75, 107.21577937499991]
[0.8, 107.26504058823511]
[0.85, 107.14528333333318]
[0.9, 107.16407684210515]
[0.95, 107.10477449999986]
[1.0, 107.01591857142841]
