[0.0, 110.18698]
[0.05, 108.33505500000001]
[0.1, 107.66449333333334]
[0.15, 107.18396250000002]
[0.2, 106.77812599999999]
[0.25, 106.70202500000003]
[0.3, 106.6889085714286]
[0.35, 106.63040875000004]
[0.4, 106.64837111111115]
[0.45, 106.72502699999993]
[0.5, 106.65153636363627]
[0.55, 106.50665249999992]
[0.6, 106.51730769230755]
[0.65, 106.44631999999986]
[0.7, 106.40682666666652]
[0.75, 106.40109562499985]
[0.8, 106.46019941176459]
[0.85, 106.34153055555538]
[0.9, 106.3494515789473]
[0.95, 106.29646749999996]
[1.0, 106.23533666666663]
