[0, 0.43132999999999994]
[3000, 1.0978500000000004]
[6000, 1.56696]
[9000, 3.244290000000002]
[12000, 3.23113]
[15000, 3.836290000000001]
[18000, 5.57764]
[21000, 4.623780000000003]
[24000, 5.0620400000000005]
[27000, 5.586080000000004]
[30000, 6.568389999999999]
[33000, 6.049719999999999]
[36000, 6.958560000000002]
[39000, 7.49522]
[42000, 7.936999999999997]
[45000, 9.069709999999997]
[48000, 9.247639999999999]
[51000, 10.100930000000002]
[54000, 9.912579999999998]
[57000, 10.635979999999993]
[60000, 11.086209999999996]
[63000, 11.974619999999998]
[66000, 11.915089999999998]
[69000, 12.720809999999998]
[72000, 12.747530000000005]
[75000, 14.362880000000002]
[78000, 14.027510000000005]
[81000, 14.116450000000004]
[84000, 15.206279999999994]
[87000, 15.377100000000006]
[90000, 16.74951999999999]
[93000, 16.432470000000002]
[96000, 16.818829999999995]
[99000, 18.24567]
[102000, 18.25581]
