[0, 0.42518999999999985]
[3000, 0.78494]
[6000, 0.8846399999999999]
[9000, 1.92209]
[12000, 1.7195600000000006]
[15000, 1.9105100000000002]
[18000, 2.82885]
[21000, 2.1030500000000005]
[24000, 2.33047]
[27000, 2.5011700000000006]
[30000, 2.8911799999999994]
[33000, 2.6473500000000003]
[36000, 3.0046099999999996]
[39000, 3.3705200000000004]
[42000, 3.5329800000000002]
[45000, 3.915190000000001]
[48000, 3.97938]
[51000, 4.21093]
[54000, 4.338239999999999]
[57000, 4.701549999999998]
[60000, 4.892310000000001]
[63000, 4.9120099999999995]
[66000, 5.19927]
[69000, 5.516050000000003]
[72000, 5.450409999999998]
[75000, 6.218880000000001]
[78000, 6.14901]
[81000, 6.4880700000000004]
[84000, 6.55123]
[87000, 6.64038]
[90000, 7.063990000000006]
[93000, 7.192149999999997]
[96000, 7.320730000000002]
[99000, 8.053609999999997]
[102000, 7.9008]
