[0, 0.42408999999999997]
[3000, 0.7169799999999998]
[6000, 0.8623799999999998]
[9000, 1.7192999999999998]
[12000, 1.5444600000000002]
[15000, 1.821519999999999]
[18000, 2.745000000000001]
[21000, 1.98361]
[24000, 2.2533000000000003]
[27000, 2.289619999999999]
[30000, 2.7653900000000005]
[33000, 2.6221400000000004]
[36000, 2.828219999999999]
[39000, 3.214939999999999]
[42000, 3.4271499999999993]
[45000, 3.67643]
[48000, 3.849330000000001]
[51000, 4.2224900000000005]
[54000, 4.12059]
[57000, 4.471729999999999]
[60000, 4.70942]
[63000, 4.89278]
[66000, 4.846150000000001]
[69000, 5.1229000000000005]
[72000, 5.319139999999999]
[75000, 6.058870000000002]
[78000, 5.89811]
[81000, 6.0992999999999995]
[84000, 6.0578899999999996]
[87000, 6.469610000000001]
[90000, 6.647440000000002]
[93000, 6.820959999999999]
[96000, 6.921580000000001]
[99000, 7.464830000000002]
[102000, 7.380050000000002]
